"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "JSON", "SQL", "XML", "JavaScript JSX", "Prisma", "CSS", "HTML", "comment", "blank", "total"
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/carta/[cartaId]/route.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 30
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/carta/route.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 100
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/email/route.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/email/sandbox.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 313, 0, 7, 320
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/email/templates.js", "JavaScript", 0, 1433, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 1466
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/menu/route.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 72
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/pagos/route.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/pagos/webhook/route.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 48
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/pedidos/[usuarioId]/route.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 57
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/pedidos/detalle-pedido/[pedidoId]/route.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/pedidos/route.js", "JavaScript", 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 164
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/usuarios/[usuarioId]/route.js", "JavaScript", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 106
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/usuarios/registro/route.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/usuarios/route.js", "JavaScript", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 75
